x26 = Identificador
= = Asignacion
1.5e-8 = Numero
; = FinSentencia
= = Asignacion
= = Asignacion
= = Asignacion
&& = OpRelacional
& = Caracter
|| = OpRelacional
| = Caracter
! = OpLogico
! = OpRelacional
= = Asignacion
< = OpRelacional
< = OpRelacional
< = OpRelacional
> = OpRelacional
> = OpRelacional
>
> = OpRelacional
= = Asignacion
< = OpRelacional
= = Asignacion
++ = IncTermino
+ = OpTermino
- = IncTermino
- = IncTermino
- = IncTermino
+ = OpTermino
= = Asignacion
- = IncTermino
= = Asignacion
